sec_from_onset,eda_mean,hr_mean,eda_se,hr_se,eda_n,hr_n
2456,-0.06204096808717963,0.09117631317048788,0.10993314288703103,0.10343511083494634,98,98
2457,-0.05575812416198298,0.09484227299029857,0.10871453147133026,0.103850601941096,98,98
2458,-0.06650220665362948,0.0981144795841777,0.10756331784952505,0.10426269190541751,98,98
2459,-0.08050469408083798,0.10199294843953403,0.10998005020609072,0.10470186880740497,98,98
2460,-0.07550411888498222,0.10616403955172478,0.11171060231494095,0.10517955400556799,98,98
2461,-0.08316113125703956,0.10943556397095246,0.11300950833275461,0.10563434289771081,98,98
2462,-0.06952350898772859,0.11175779015013204,0.11273553951745306,0.10600737654846533,98,98
2463,-0.03850933949185378,0.11328474878491732,0.11436960768199426,0.10627846780054112,98,98
2464,-0.04071209898050502,0.114456439044039,0.11510262266889656,0.1064549375315326,98,98
2465,-0.055050676932938906,0.11643192326565817,0.11245389981976026,0.10664623177698458,98,98
2466,-0.060113830776608174,0.11820264132200434,0.10945796636301515,0.1068551362728468,98,98
2467,-0.06576664583577219,0.12058165798806879,0.1092524217351855,0.10710086166803674,98,98
2468,-0.069906356498996,0.12339908589220913,0.10605242894161379,0.10712217445232332,98,98
2469,-0.08841845528028848,0.12628456606519708,0.10755743090990784,0.10717912383023429,98,98
2470,-0.07686865351918828,0.12930665927136917,0.11216204841866799,0.10727830540466612,98,98
2471,-0.052566933814986616,0.131498491902246,0.11357714867118628,0.1073887537857714,98,98
2472,-0.052578593372870686,0.13322253673322432,0.11431320437914683,0.10748491701460514,98,98
2473,-0.048830476670825476,0.1346651451181249,0.11687700208001149,0.10762632357205096,98,98
2474,-0.04223735333393979,0.13608975165013373,0.11607681712151553,0.10781637619924347,98,98
2475,-0.0636305637741616,0.13761091112171353,0.11325210130455117,0.10806930428667096,98,98
2476,-0.06082049555552694,0.13854401271769315,0.1099063898985064,0.1082877345184819,98,98
2477,-0.04893375921069763,0.1392866775407339,0.1090407659175226,0.1085893643987754,98,98
2478,-0.044506199830567944,0.14015554236704883,0.10887105755497406,0.10883480593446464,98,98
2479,-0.04683980524385834,0.140451749465258,0.10922383337848719,0.10921801980898323,98,98
2480,-0.0412975056417468,0.14031664911014388,0.11168835536765488,0.1096696331837829,98,98
2481,-0.05091556801092925,0.14127474389992695,0.1115229760070724,0.11016304447620745,98,98
2482,-0.04914095765687707,0.1429459383976545,0.11045368509645316,0.11065312066214085,98,98
2483,-0.05133174823697329,0.14470011139537495,0.10932864177384216,0.11126039148282629,98,98
2484,-0.03971168668749895,0.14688426115793035,0.11021953163660743,0.11176516371064686,98,98
2485,-0.018711646674428033,0.148578998989931,0.11089134707515076,0.11227720976957815,98,98
